Drug Name,Generic Name,Manufacturer,Strength,Dosage Form,Quantity on Hand,Expiration Date,Lot Number,Price per Unit,Notes
Lipitor,Atorvastatin,Pfizer,10 mg,Tablet,200,12/31/2024,LOT-001,$5.00,Cholesterol medication
Zoloft,Sertraline,Pfizer,25 mg,Tablet,150,6/30/2025,LOT-002,$8.50,Antidepressant
Amoxicillin,Amoxicillin,GlaxoSmithKline,500 mg,Capsule,300,9/15/2024,LOT-003,$12.00,Antibiotic
Ibuprofen,Ibuprofen,Johnson & Johnson,200 mg,Tablet,500,11/30/2023,LOT-004,$4.75,Pain reliever
Prozac,Fluoxetine,Eli Lilly,20 mg,Capsule,75,2/28/2025,LOT-005,$9.25,Antidepressant
Plavix,Clopidogrel,Sanofi,75 mg,Tablet,100,10/10/2024,LOT-006,$10.00,Blood thinner
Tums,Calcium carbonate,GlaxoSmithKline,500 mg,Tablet,120,1/15/2025,LOT-007,$1.50,Antacid
Prilosec,Omeprazole,AstraZeneca,20 mg,Capsule,180,8/20/2024,LOT-008,$7.50,Acid reducer
Tylenol,Acetaminophen,Johnson & Johnson,500 mg,Tablet,220,11/1/2024,LOT-009,$6.25,Pain reliever
Claritin,Loratadine,Bayer,10 mg,Tablet,90,3/25/2025,LOT-010,$8.00,Antihistamine
Metformin,Metformin,Bristol-Myers Squibb,1000 mg,Tablet,350,7/10/2024,LOT-011,$13.50,Diabetes medication
Viagra,Sildenafil,Pfizer,50 mg,Tablet,60,12/15/2023,LOT-012,$10.50,Erectile dysfunction treatment
Robitussin,Guaifenesin,Reckitt Benckiser,200 mg,Liquid,130,4/30/2025,LOT-013,$9.75,Cough medicine
Cipro,Ciprofloxacin,Bayer,250 mg,Tablet,40,9/1/2024,LOT-014,$5.50,Antibiotic
Singulair,Montelukast,Merck,10 mg,Tablet,180,5/20/2024,LOT-015,$12.75,Asthma medication
Allegra,Fexofenadine,Sanofi,180 mg,Tablet,100,6/15/2025,LOT-016,$8.25,Antihistamine
Ritalin,Methylphenidate,Novartis,10 mg,Tablet,75,4/10/2024,LOT-017,$10.75,ADHD medication
Lisinopril,Lisinopril,AstraZeneca,20 mg,Tablet,240,7/5/2025,LOT-018,$14.00,Blood pressure medication
Xanax,Alprazolam,Pfizer,0.5 mg,Tablet,50,2/28/2024,LOT-019,$9.00,Anti-anxiety medication
Crestor,Rosuvastatin,AstraZeneca,40 mg,Tablet,110,3/15/2024,LOT-020,$6.00,Cholesterol medication
Vicodin,Hydrocodone,AbbVie,5 mg,Tablet,300,5/20/2025,LOT-021,$13.25,Pain reliever
Adderall,Amphetamine,Shire,20 mg,Capsule,190,6/30/2024,LOT-022,$8.75,ADHD medication
Valtrex,Valacyclovir,GlaxoSmithKline,500 mg,Tablet,85,1/10/2024,LOT-023,$10.25,Antiviral medication
Advil,Ibuprofen,Pfizer,200 mg,Tablet,130,8/15/2025,LOT-024,$11.00,Pain reliever
Benadryl,Diphenhydramine,Johnson & Johnson,25 mg,Capsule,70,10/5/2024,LOT-025,$9.50,Antihistamine
Viagra,Sildenafil,Pfizer,100 mg,Tablet,220,7/31/2024,LOT-026,$15.50,Erectile dysfunction treatment
Cymbalta,Duloxetine,Eli Lilly,30 mg,Capsule,100,10/20/2024,LOT-027,$7.75,Antidepressant
Celebrex,Celecoxib,Pfizer,200 mg,Capsule,80,11/5/2024,LOT-028,$9.00,Pain and inflammation relief
Prednisone,Prednisone,Various,10 mg,Tablet,150,3/1/2025,LOT-029,$5.25,Corticosteroid
Risperdal,Risperidone,Janssen Pharmaceuticals,1 mg,Tablet,70,6/30/2024,LOT-030,$8.50,Antipsychotic
Metoprolol,Metoprolol,AstraZeneca,25 mg,Tablet,200,12/15/2024,LOT-031,$5.50,Beta-blocker
